experiment,date,sample,cohort,group,drug,age _wks,spleen_mg,wound,perNP_m_nv,perMO_m_nv,perB_m_nv,perT_m_nv,perDC_m_nv,NP_m_nv,MO_m_nv,B_m_nv,T_m_nv,DC_m_nv,perNP_m_iv,perMO_m_iv,perB_m_iv,perT_m_iv,perDC_m_iv,NP_m_iv,MO_m_iv,B_m_iv,T_m_iv,DC_m_iv,perNP_b,perMO_b,perB_b,perT_b,perDC_b,NP_ul_b,MO_ul_b,B_ul_b,T_ul_b,DC_ul_b,OF_cross_05,OF_cross_610,OF_cross_010,OF_time_05,OF_time_610,OF_time_010,OF_m_05,OF_m_610,OF_m_010,OF_feces,LF_time,LD_cross,SI_approach_05,SI_approach_610,SI_approach_010,SI_05,SI_610,SI_010,SI_social_05,SI_social_610,SI_social_010,SI_nonsocial_05,SI_nonsocial_610,SI_nonsocial_010,USM_mark,USM_area,USM_F_area,USM_pref
NP-3,Jan - Feb 2019,6,1,CSD,,,83,1,45.12,8.39,20.74,3.02,2.12,,,,,,0.13,0.03,1.00,0.14,0.10,,,,,,20.26,0.36,43.51,22.88,0.84,,,,,,,,,,,,,,,,55.85,47,26,24,50,2.86,3.42,3.09,83.33,70.06,153.39,29.12,20.51,49.63,,,,
NP-3,Nov - Dec 2019,8,3,CSD,,,89,8,28.50,10.40,13.20,6.30,6.00,,,,,,2.39,1.04,1.32,0.77,1.34,,,,,,72.50,0.46,13.90,7.95,0.09,,,,,,,,,,,,,,,,55.43,34,,,,,,,,,,,,,,,,
NP-3,Nov - Dec 2019,10,3,CSD,,,82,1,23.00,10.20,18.30,7.09,7.63,,,,,,2.21,1.47,1.66,0.77,0.97,,,,,,63.90,0.62,19.90,9.38,0.12,,,,,,,,,,,,,,,,49.93,32,,,,,,,,,,,,,,,,
NP-3,Nov - Dec 2019,12,4,CSD,,,78,4,28.50,9.01,12.70,0.29,7.61,,,,,,1.53,0.96,2.26,0.06,1.21,,,,,,50.10,1.87,26.60,0.01,0.17,,,,,,,,,,,,,,,,45.53,44,,,,,,,,,,,,,,,,
NP-4,Feb - Mar 2019,3,1,CSD,Vehicle,,82,5,26.88,8.11,21.60,2.89,5.63,,,,,,0.35,0.52,1.55,0.15,0.56,,,,,,42.37,0.52,39.32,6.92,1.23,,,,,,23,13,36,23.32,21.31,22.32,7.76,7.85,15.61,,41.48,43,19,16,35,3.11,2.19,2.57,39.61,40,79.61,12.73,18.23,30.96,0,,,
NP-4,Feb - Mar 2019,7,1,CSD,Vehicle,,73,1,22.95,5.23,22.83,3.90,3.91,,,,,,2.24,1.61,5.73,0.54,1.08,,,,,,17.82,0.46,62.10,10.32,1.60,,,,,,21,25,46,12.61,17.24,14.93,5.80,4.62,10.41,,23.37,32,21,11,32,2.07,0.66,1.10,39.44,28.13,67.57,19.07,42.6,61.67,0,,,
NP-4,Feb - Mar 2019,10,3,CSD,Vehicle,,107,5,32.37,4.79,16.94,6.29,5.78,,,,,,1.85,2.55,2.58,0.47,0.85,,,,,,64.89,2.71,21.35,3.25,0.48,33,1,11,2,0,34,29,63,38.37,22.12,30.25,7.30,8.06,15.36,,47.01,45,21,14,35,1.20,0.69,0.98,39.53,18.13,57.66,32.97,26.1,59.07,,,,
NP-4,Feb - Mar 2019,14,3,CSD,Vehicle,,90,4,32.45,6.39,19.90,3.62,4.44,,,,,,1.04,0.29,2.45,0.41,1.66,,,,,,39.83,0.31,52.29,3.93,1.01,61,0,79,6,2,17,20,37,9.57,12.83,11.20,5.96,5.69,11.65,,35.44,36,19,9,28,2.12,0.64,1.29,40.69,16.1,56.79,19.15,25.04,44.19,,,,
NP-4,Nov - Dec 2019,19,4,CSD,Vehicle,,78,10,25.64,8.50,23.22,4.34,5.24,,,,,,1.16,2.89,4.12,0.28,0.91,,,,,,42.57,0.99,43.35,4.37,0.38,,,,,,,,,,,,,,,,,,19,14,33,1.06,2.03,1.52,43.27,74.24,117.51,40.82,36.58,77.4,,,,
NP-4,Nov - Dec 2019,21,4,CSD,Vehicle,,87,3,28.67,7.60,32.15,2.43,3.70,,,,,,0.64,1.57,3.43,0.12,0.36,,,,,,43.40,3.45,37.24,7.89,0.37,,,,,,,,,,,,,,,,,,23,13,36,2.48,2.12,2.30,91.25,75.37,166.62,36.81,35.63,72.44,,,,
NP-4,Nov - Dec 2019,27,5,CSD,Vehicle,,81,10,25.14,7.17,13.13,5.39,9.83,,,,,,0.26,3.81,1.65,0.15,0.32,,,,,,51.74,4.91,30.53,7.76,0.90,,,,,,,,,,,,,,,,,,28,27,55,1.21,1.63,1.44,48.26,74.93,123.19,39.97,45.84,85.81,,,,
NP-4,Nov - Dec 2019,29,5,CSD,Vehicle,,83,7,28.73,8.17,18.42,4.20,5.91,,,,,,0.36,1.12,3.48,0.12,0.25,,,,,,43.31,2.55,40.88,7.08,0.82,,,,,,,,,,,,,,,,,,7,0,7,0.29,0.00,0.09,38.61,0,38.61,132.92,300,432.92,,,,
NP-4,Nov - Dec 2019,35,6,CSD,Vehicle,,75,1,14.40,5.18,19.04,8.73,12.04,,,,,,0.52,1.59,1.88,0.28,0.60,,,,,,52.01,1.55,22.29,4.95,1.55,,,,,,,,,,,,,,,,,,17,11,28,1.07,1.99,1.45,43.19,57.15,100.34,40.34,28.7,69.04,,,,
NP-4,Nov - Dec 2019,40,7,CSD,Vehicle,,94,3,18.22,3.43,21.42,4.47,8.70,,,,,,0.70,3.18,2.87,0.25,1.24,,,,,,25.93,9.03,48.47,7.24,0.70,,,,,,,,,,,,,,,,,,30,25,55,2.90,1.50,2.04,94.69,78,172.69,32.65,51.95,84.6,,,,
NP-4,Nov - Dec 2019,44,8,CSD,Vehicle,,146,3,26.95,8.35,28.95,2.75,5.70,,,,,,0.03,0.29,2.42,0.05,0.37,,,,,,25.40,1.34,58.30,4.68,1.45,52,3,119,10,3,,,,,,,,,,,,,,25,,,2.09,,,83.92,,,40.14,,,,,
NP-5,Mar-19,2,4,CSD,,12.86,97,,14.87,4.58,9.78,1.49,4.33,,,,,,1.15,2.74,2.67,0.28,0.55,,,,,,33.58,0.75,34.55,3.01,0.84,,,,,,,,,,,,,,,,,,15,19,34,0.30,0.64,0.48,32.74,77.45,110.19,108.57,121.61,230.18,,,,
NP-5,Mar-19,3,4,CSD,,12.86,91,,23.31,8.70,14.69,0.92,2.32,,,,,,1.21,0.96,2.21,0.20,0.17,,,,,,49.96,0.70,24.36,1.82,0.46,,,,,,,,,,,,,,,,,,24,19,43,1.28,1.04,1.17,60.88,46.21,107.09,47.4,44.34,91.74,,,,
NP-8,Sep-19,2,1,CSD,IgG,13.29,81.1,6,34.27,6.07,26.28,2.94,7.34,,,,,,4.10,3.69,2.94,0.47,2.01,,,,,,64.56,0.98,23.58,4.74,0.28,,,,,,8,5,13,4.08,3.47,3.78,7.38,6.64,14.02,3,,,23,11,34,4.08,1.26,2.36,71.29,34.63,105.92,17.46,27.49,44.95,0,0,0,0
NP-8,Sep-19,6,1,CSD,IgG,13.29,80.2,1,27.22,7.19,25.77,3.90,7.59,,,,,,1.77,0.95,4.84,0.39,0.40,,,,,,7.57,0.24,73.99,8.14,2.86,,,,,,7,6,13,12.97,4.21,8.59,4.52,5.10,9.62,7,,,21,15,36,4.24,1.56,2.42,72.37,57.13,129.50,17.06,36.53,53.59,0,0,0,0
NP10,Mar-20,2,1,CSD,,12.3,74.1,3,28.13,7.64,,,,,,,,,1.02,2.33,,,,,,,,,68.2,2.67,,,,,,,,,10,13,23,5.44,10.12,7.78,10.29,7.34,17.62,0,,,,,,,,,,,,,,,0,0.00,0.00,0
NP10,Mar-20,3,1,CSD,,12.3,44.2,9,36.98,12.7,,,,,,,,,1.42,0.3,,,,,,,,,78.7,0.24,,,,,,,,,17,13,30,8.70,12.91,10.81,9.72,6.95,16.67,4,,,,,,,,,,,,,,,0,0.00,0.00,0
NP10,Mar-20,6,2,CSD,,12.4,88.7,6,21.42,8.68,,,,,,,,,0.43,0.73,,,,,,,,,58.7,1.38,,,,,,,,,8,9,17,1.67,4.85,3.26,10.63,8.74,19.38,4,,,,,,,,,,,,,,,0,0.00,0.00,0
NP10,Mar-20,7,2,CSD,,12.4,82.6,5,9.16,3.27,,,,,,,,,0.84,1.24,,,,,,,,,56.1,4.89,,,,,,,,,4,8,12,2.08,4.36,3.22,8.13,6.49,14.62,2,,,,,,,,,,,,,,,0,0.00,0.00,0
NP10,Mar-20,10,3,CSD,,12.9,77.1,1,15.35,6.97,,,,,,,,,0.56,0.24,,,,,,,,,52.5,0.35,,,,,,,,,10,11,21,5.47,3.33,4.40,7.78,7.95,15.72,0,,,,,,,,,,,,,,,0,0.00,0.00,0
NP10,Mar-20,11,3,CSD,,12.9,98.3,3,23.98,11.2,,,,,,,,,0.88,0.24,,,,,,,,,67,0.66,,,,,,,,,6,12,18,6.60,7.51,7.06,7.01,6.91,13.92,3,,,,,,,,,,,,,,,0,0.69,0.00,0
NP10,Mar-20,12,3,CSD,,12.9,114.4,9,31.67,12.6,,,,,,,,,0.34,0.073,,,,,,,,,36.8,0.47,,,,,,,,,14,12,26,11.00,10.44,10.72,11.69,5.74,17.44,0,,,,,,,,,,,,,,,0,0.04,0.00,0
NP10,Mar-20,15,4,CSD,,13,87.6,7,28.88,11.1,,,,,,,,,1.01,0.52,,,,,,,,,28,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.73,0.73,0
NP10,Mar-20,16,4,CSD,,13,153.4,5,27.53,9.19,,,,,,,,,1.5,1.38,,,,,,,,,48.7,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0
